Parcela,Zona_vida,Altitud,Temp_media,Rango_diurno_Temp,Est_Temp,Prec_anual,Rango_anual_Temp,Prec_min,Est_Prec
59100,bh-MB,2870,12.625,7.59999990463257,38.8762588500977,1038,8.69999885559082,29,54.4214286804199
59101,bmh-M,3172,11.8208332061768,7.52500009536743,31.4395790100098,1098,8.5,25,55.7026252746582
59102,bh-MB,2815,13.375,7.81666660308838,43.3537139892578,1015,9.19999885559082,25,53.9066352844238
59103,bh-MB,2850,14.6708335876465,8.09166717529297,55.8593368530273,1197,9.79999923706055,30,55.4155006408691
59104,bh-MB,2830,13.4666662216187,7.81666660308838,44.3300437927246,1030,9.19999980926514,29,45.6229858398438
59105,bh-PM,1250,12.2583332061768,7.15000009536743,28.190372467041,1280,8.19999885559082,29,58.9263916015625
59106,bh-PM,1310,15.2458333969116,7.375,43.1413230895996,1303,8.90000057220459,31,60.7318992614746
59107,bh-PM,1300,12.7458333969116,6.89166688919067,29.6539421081543,1130,8.00000095367432,30,54.7562866210938
59108,bh-PM,1100,12.7458333969116,6.89166688919067,29.6539421081543,1130,8.00000095367432,30,54.7562866210938
59109,bh-PM,1110,14.0375003814697,7.02499961853027,36.9966125488281,1183,8.30000019073486,29,56.5017700195312
59110,bh-MB,2100,12.7458333969116,6.89166688919067,29.6539421081543,1130,8.00000095367432,30,54.7562866210938
59111,bh-MB,2100,14.0375003814697,7.02499961853027,36.9966125488281,1183,8.30000019073486,29,56.5017700195312
59112,bh-MB,2100,11.4250001907349,6.73333311080933,24.5412425994873,1203,7.70000028610229,26,55.1852493286133
59113,bh-MB,2100,15.2458333969116,7.375,43.1413230895996,1303,8.90000057220459,31,60.7318992614746
59114,bh-MB,2120,11.3999996185303,6.93333339691162,24.4019451141357,1238,7.80000019073486,32,60.6961784362793
59115,bh-MB,2110,12.7458333969116,6.89166688919067,29.6539421081543,1130,8.00000095367432,30,54.7562866210938
59116,bh-MB,2130,13.908332824707,7.21666669845581,37.5882835388184,1245,8.5,34,56.766529083252
59117,bh-MB,2100,15.2458333969116,7.375,43.1413230895996,1303,8.90000057220459,31,60.7318992614746
59118,bh-MB,2290,16.0125007629395,7.625,46.0792388916016,1337,9.30000114440918,34,59.7671890258789
59119,bh-MB,2170,16.0125007629395,7.625,46.0792388916016,1337,9.30000114440918,34,59.7671890258789
59120,bh-MB,2180,16.2416667938232,8.01666641235352,46.2617835998535,1446,9.70000076293945,40,54.581672668457
59121,bh-MB,2200,11.4250001907349,6.73333311080933,24.5412425994873,1203,7.70000028610229,26,55.1852493286133
59122,bh-MB,2210,10.8666667938232,6.90000009536743,23.4843635559082,1226,7.69999980926514,31,59.466609954834
59123,bh-MB,2220,12.8333330154419,7.13333368301392,30.4013538360596,1212,8.19999980926514,31,46.6279296875
59124,bh-PM,1770,12.2583332061768,7.15000009536743,28.190372467041,1280,8.19999885559082,29,58.9263916015625
59125,bh-PM,1780,18.3583335876465,7.98333311080933,43.5281219482422,1416,9.50000095367432,34,43.688663482666
59126,bmh-M,3410,8.52916622161865,8.42500019073486,26.582483291626,1065,9.19999980926514,23,44.6848945617676
59127,bmh-M,3410,8.62083339691162,8.02499961853027,25.5359153747559,1029,8.69999980926514,5,49.1876029968262
59128,bmh-M,3360,7.90833330154419,7.96666669845581,25.922384262085,1025,8.70000076293945,9,44.0240707397461
59129,bmh-M,3360,7.80416679382324,8.34166622161865,28.2407112121582,1046,9.09999942779541,20,48.9539642333984
59133,bmh-M,3280,12.1416664123535,7.53333330154419,28.0286731719971,1167,8.39999961853027,18,47.32177734375
59134,bmh-M,3280,7.61666679382324,8.19999980926514,27.1639156341553,1017,9,4,47.7425727844238
59135,bmh-M,3030,8.47083377838135,8.20833301544189,25.8894805908203,1031,8.89999961853027,6,45.1591682434082
59136,bmh-M,3000,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59137,bmh-M,3210,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59138,bmh-M,3000,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59139,bh-MB,2870,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59140,bh-MB,2910,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59141,bh-MB,2910,8.11666679382324,8.51666641235352,26.7423210144043,1087,9.30000019073486,16,45.7497444152832
59142,bh-MB,2910,11.0458335876465,6.99166679382324,25.8015422821045,1113,7.69999980926514,19,53.9391059875488
59143,bmh-M,3100,11.0749998092651,8.35000038146973,26.414529800415,1056,9.10000038146973,25,50.435661315918
59144,bmh-M,3110,11.0749998092651,8.35000038146973,26.414529800415,1056,9.10000038146973,25,50.435661315918
59145,bmh-M,3110,11.0749998092651,8.35000038146973,26.414529800415,1056,9.10000038146973,25,50.435661315918
59146,bmh-M,840,11.4250001907349,6.73333311080933,24.5412425994873,1203,7.70000028610229,26,55.1852493286133
59147,bmh-M,840,14.8208332061768,7.42499971389771,42.0745162963867,1311,8.89999961853027,40,55.3161239624023
59148,bh-T,840,12.8333330154419,7.13333368301392,30.4013538360596,1212,8.19999980926514,31,46.6279296875
